nazwa,telefon,miasto,www,facebook,instagram,booksy,liczba_opinii,ocena,jakosc,status,notatki,maps_url
Happy Hair and Beauty,574430261,Radomsko,https://happyhairbeauty.pl/,,,,,5.0,,nowy,,https://www.google.com/maps/place/Happy+Hair+and+Beauty/data=!4m7!3m6!1s0x4717551f31fe3efd:0x809774a739a2ea67!8m2!3d51.0678139!4d19.4292153!16s%2Fg%2F11x8dbbwpn!19sChIJ_T7-MR9VF0cRZ-qiOad0l4A?authuser=0&hl=pl&rclk=1
Staromiejski Barbershop Radomsko,537278903,Radomsko,https://staromiejski.com/,,,,194,4.7,,nowy,,https://www.google.com/maps/place/Staromiejski+Barbershop+Radomsko/data=!4m7!3m6!1s0x4717551ac5f49d23:0x68083fe12e255d85!8m2!3d51.0671157!4d19.44738!16s%2Fg%2F11jbl5w4gh!19sChIJI530xRpVF0cRhV0lLuE_CGg?authuser=0&hl=pl&rclk=1
Studio fryzjerskie EuroFryz,888735920,Radomsko,,,,,103,4.8,,nowy,,https://www.google.com/maps/place/Studio+fryzjerskie+EuroFryz/data=!4m7!3m6!1s0x4717555894756b0d:0xd4fae8a9d394337b!8m2!3d51.0690651!4d19.4399559!16s%2Fg%2F1hjh3h875!19sChIJDWt1lFhVF0cRezOU06no-tQ?authuser=0&hl=pl&rclk=1
Studio Fryzjerskie STYL - Katarzyna Winer,602275867,Radomsko,,https://www.facebook.com/p/Studio-fryzjerskie-Styl-Katarzyna-Winer-100063519580629/,,,21,5.0,,nowy,,https://www.google.com/maps/place/Studio+Fryzjerskie+STYL+-+Katarzyna+Winer/data=!4m7!3m6!1s0x4719ffcbdd6e9c3b:0x2bd6e9b944e57bf!8m2!3d51.0725355!4d19.4357449!16s%2Fg%2F11w8pm0cbw!19sChIJO5xu3cv_GUcRv1dOlJtuvQI?authuser=0&hl=pl&rclk=1
Miejsce Obowiązkowe,518417116,C1,,,,https://booksy.com/pl-pl/105663_miejsce-obowiazkowe-barber-radomsko_barber-shop_25252_radomsko#ba_s=sh_1,91,4.9,,nowy,,https://www.google.com/maps/place/Miejsce+Obowi%C4%85zkowe/data=!4m7!3m6!1s0x47175506311dd9f5:0xaa9b84568768b59e!8m2!3d51.0636037!4d19.4456147!16s%2Fg%2F11qh7bs49z!19sChIJ9dkdMQZVF0cRnrVoh1aEm6o?authuser=0&hl=pl&rclk=1
