nazwa,telefon,miasto,www,facebook,instagram,booksy,liczba_opinii,ocena,jakosc,status,notatki,maps_url
Dżanas-Fryzjer&Barber,511124551,Piotrków Trybunalski,,,,https://dzanasfryzjerbarber.booksy.com/,,4.9,,nowy,,https://www.google.com/maps/place/D%C5%BCanas-Fryzjer%26Barber/data=!4m7!3m6!1s0x8195c08728c6d521:0x92fda3a0c99b1cc!8m2!3d51.4014805!4d19.6927772!16s%2Fg%2F11k3x3j2zv!19sChIJIdXGKIfAlYERzLGZDDraLwk?authuser=0&hl=pl&rclk=1
"Studio fryzjerskie ""Wiktoria"" Błażej Adamus Piotrków Trybunalski",570450506,Piotrków Trybunalski,http://adamus-studio.pl/,,,,290,4.7,,nowy,,https://www.google.com/maps/place/Studio+fryzjerskie+%22Wiktoria%22+B%C5%82a%C5%BCej+Adamus+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x47198be2d943d3cf:0xa5e6ec0a28b34593!8m2!3d51.4088845!4d19.6883302!16s%2Fg%2F11tn0zcyrs!19sChIJz9ND2eKLGUcRk0WzKArs5qU?authuser=0&hl=pl&rclk=1
Barber Shop by Edyta,501955448,Piotrków Trybunalski,http://www.barbershoppiotrkow.pl/,,,,337,4.6,,nowy,,https://www.google.com/maps/place/Barber+Shop+by+Edyta/data=!4m7!3m6!1s0x47198a9b4524ec83:0x8b3e4a16c742c742!8m2!3d51.4077496!4d19.6726191!16s%2Fg%2F11g6nhq904!19sChIJg-wkRZuKGUcRQsdCxxZKPos?authuser=0&hl=pl&rclk=1
Gentelman Barber- Piotrków Tryb.,603660949,Piotrków Trybunalski,,https://www.facebook.com/Gentelman-Barber-Piotrk%C3%B3w-Tryb-102872691268844/,,,347,4.9,,nowy,,https://www.google.com/maps/place/Gentelman+Barber-+Piotrk%C3%B3w+Tryb./data=!4m7!3m6!1s0x471a2102294a1df1:0x89f9f2c36f4c2d3b!8m2!3d51.4110857!4d19.668059!16s%2Fg%2F11j8b4mzf0!19sChIJ8R1KKQIhGkcROy1Mb8Py-Yk?authuser=0&hl=pl&rclk=1
GRANDA BARBER SHOP Piotrków Trybunalski,793734224,Piotrków Trybunalski,,,,,6,5.0,,nowy,,https://www.google.com/maps/place/GRANDA+BARBER+SHOP+Piotrk%C3%B3w+Trybunalski/data=!4m7!3m6!1s0x47198b92202c30e7:0xe98f8abc15e879ba!8m2!3d51.4106604!4d19.6850341!16s%2Fg%2F11njvgj34c!19sChIJ5zAsIJKLGUcRunnoFbyKj-k?authuser=0&hl=pl&rclk=1
