nazwa,telefon,miasto,www,facebook,instagram,booksy,liczba_opinii,ocena,jakosc,status,notatki,maps_url
Salon Fryzjerski Męska Strefa,733333286,Tomaszów Mazowiecki,,,https://www.instagram.com/meska_strefa_salon_fryzjerski?igsh=Y3h3aWZ4c2VsOW1t,,98,5.0,,nowy,,https://www.google.com/maps/place/Salon+Fryzjerski+M%C4%99ska+Strefa/data=!4m7!3m6!1s0x4719858e770d6597:0x593ec4f95ead3459!8m2!3d51.538729!4d20.010542!16s%2Fg%2F11zjxbgwhh!19sChIJl2UNd46FGUcRWTStXvnEPlk?authuser=0&hl=pl&rclk=1
Salon fryzjerski J.Ostrowski,513255258,Tomaszów Mazowiecki,,,,,261,4.8,,nowy,,https://www.google.com/maps/place/Salon+fryzjerski+J.Ostrowski/data=!4m7!3m6!1s0x4719852bf80edeff:0xf1ea6dedf67530ac!8m2!3d51.5304664!4d20.0154844!16s%2Fg%2F11bzyxsdyy!19sChIJ_94O-CuFGUcRrDB19u1t6vE?authuser=0&hl=pl&rclk=1
Barber Shop FRYZ,720844420,Tomaszów Mazowiecki,,https://www.facebook.com/salonfryzjerskifryz/,,,340,4.8,,nowy,,https://www.google.com/maps/place/Barber+Shop+FRYZ/data=!4m7!3m6!1s0x471984d9921872f9:0x5f33d65301b93f29!8m2!3d51.5414556!4d20.0117833!16s%2Fg%2F11gbld_t5s!19sChIJ-XIYktmEGUcRKT-5AVPWM18?authuser=0&hl=pl&rclk=1
"Studio Fryzur ""KREATOR"" Konrad Mikosiński",577669187,Tomaszów Mazowiecki,,,,,69,4.9,,nowy,,https://www.google.com/maps/place/Studio+Fryzur+%22KREATOR%22+Konrad+Mikosi%C5%84ski/data=!4m7!3m6!1s0x4719852cd1c35251:0xe15174d5079c777d!8m2!3d51.529182!4d20.010496!16s%2Fg%2F11j6c4_75c!19sChIJUVLD0SyFGUcRfXecB9V0UeE?authuser=0&hl=pl&rclk=1
Fryzjerstwo Męskie Michał Wójcik,792458545,Tomaszów Mazowiecki,,,,,88,4.7,,nowy,,https://www.google.com/maps/place/Fryzjerstwo+M%C4%99skie+Micha%C5%82+W%C3%B3jcik/data=!4m7!3m6!1s0x47199acd4a684a33:0xd50ae1829483aa7a!8m2!3d51.523169!4d20.017971!16s%2Fg%2F11dxj025vh!19sChIJM0poSs2aGUcReqqDlILhCtU?authuser=0&hl=pl&rclk=1
Salon Brodaczy Barber Shop,502555743,Tomaszów Mazowiecki,,,,,138,4.9,,nowy,,https://www.google.com/maps/place/Salon+Brodaczy+Barber+Shop/data=!4m7!3m6!1s0x47198564fe71ce43:0xb3e660c8ca318d86!8m2!3d51.5435898!4d20.0086981!16s%2Fg%2F11fnxtcfkf!19sChIJQ85x_mSFGUcRho0xyshg5rM?authuser=0&hl=pl&rclk=1
